name,timing-cached,timing-uncached
convex_image,107562,99178
weighted_centroid,49539,18057
bbox,27847,398
centroid,24733,16791
extent,19812,18480
solidity,18915,119889
eccentricity,5878,37897
equivalent_diameter,5172,16981
min_intensity,4250,4977
mean_intensity,4134,7343
image,3705,1638
weighted_moments,3457,16491
weighted_moments_central,2604,35769
filled_image,2222,14857
minor_axis_length,2151,36132
perimeter,1554,20346
weighted_moments_hu,1318,36623
convex_area,1271,109494
filled_area,1217,16748
euler_number,1150,21248
moments_central,878,32353
max_intensity,875,5546
moments,807,15858
coords,235,6735
weighted_moments_normalized,166,35473
label,158,158
moments_hu,155,36800
moments_normalized,142,33947
area,137,16552
major_axis_length,129,36515
orientation,123,34345
